官方 ROM (lineage-23.2-20260817) vendor 模块 __versions CRC 表
vermagic: 5.4.302-qgki-gc8c87694a044 SMP preempt mod_unload modversions aarch64
共 488 条符号
qca_cld3_wlan: __udelay 0x9e7d6bd0
qca_cld3_wlan: __const_udelay 0xeae3dfd6
qca_cld3_wlan: schedule_timeout_interruptible 0x054496b4
qca_cld3_wlan: msleep_interruptible 0xcc5005fe
qca_cld3_wlan: skb_coalesce_rx_frag 0x991e222d
qca_cld3_wlan: refcount_warn_saturate 0x0296695f
qca_cld3_wlan: skb_copy_bits 0x319c64b2
qca_cld3_wlan: dma_direct_unmap_page 0x9e383dfc
qca_cld3_wlan: dma_direct_map_page 0x53675064
qca_cld3_wlan: dev_driver_string 0x031d946c
qca_cld3_wlan: __warn_printk 0x56470118
qca_cld3_wlan: skb_add_rx_frag 0xc2392c28
qca_cld3_wlan: dump_stack 0x6b2dc060
qca_cld3_wlan: vmemmap 0xe1368eaf
qca_cld3_wlan: kimage_voffset 0xe4bbc1dd
qca_cld3_wlan: physvirt_offset 0x1ba7c500
qca_cld3_wlan: vabits_actual 0xc56a41e6
qca_cld3_wlan: param_ops_byte 0x74f4ed6a
qca_cld3_wlan: dma_direct_sync_single_for_cpu 0x17647f1a
qca_cld3_wlan: dma_direct_sync_single_for_device 0x1d3378d8
qca_cld3_wlan: dma_alloc_attrs 0x73681336
qca_cld3_wlan: dma_free_attrs 0xe5b2fe49
qca_cld3_wlan: sg_next 0x87b8798d
qca_cld3_wlan: dma_get_sgtable_attrs 0x3e6a97cc
qca_cld3_wlan: iommu_iova_to_phys 0xf2529161
qca_cld3_wlan: wcnss_prealloc_put 0x0521fc53
qca_cld3_wlan: wcnss_prealloc_get 0xdff15e8a
qca_cld3_wlan: memcmp 0x449ad0a7
qca_cld3_wlan: __memset_io 0x18b48e28
qca_cld3_wlan: __memcpy_toio 0xf77555cd
qca_cld3_wlan: ksize 0x04ea5d10
qca_cld3_wlan: sys_tz 0xfe5d4bb2
qca_cld3_wlan: rtc_time64_to_tm 0x356461c8
qca_cld3_wlan: ktime_get_real_ts64 0x9ec6ca96
qca_cld3_wlan: mutex_trylock 0xf21017d9
qca_cld3_wlan: pm_system_wakeup 0x8c0215f2
qca_cld3_wlan: wakeup_source_unregister 0x49516ec4
qca_cld3_wlan: __pm_relax 0x41b32761
qca_cld3_wlan: pm_wakeup_ws_event 0xac443f7b
qca_cld3_wlan: __pm_stay_awake 0x93d87c4a
qca_cld3_wlan: wakeup_source_register 0x2ddf2db7
qca_cld3_wlan: mutex_is_locked 0x318d6fec
qca_cld3_wlan: idr_alloc 0xb8f11603
qca_cld3_wlan: idr_remove 0x7665a95b
qca_cld3_wlan: idr_find 0x20978fb9
qca_cld3_wlan: idr_destroy 0x8e17b3ae
qca_cld3_wlan: do_exit 0x952664c5
qca_cld3_wlan: complete_all 0xfd94814e
qca_cld3_wlan: queue_delayed_work_on 0xbf57e89e
qca_cld3_wlan: cancel_delayed_work 0xda571594
qca_cld3_wlan: cancel_delayed_work_sync 0xf8beca97
qca_cld3_wlan: delayed_work_timer_fn 0x253af43d
qca_cld3_wlan: kzfree 0x7a4497db
qca_cld3_wlan: kmalloc_order_trace 0xb8b9f817
qca_cld3_wlan: __kmalloc 0xeb233a45
qca_cld3_wlan: crypto_destroy_tfm 0x157f409b
qca_cld3_wlan: crypto_alloc_base 0xed71f63c
qca_cld3_wlan: crypto_aead_encrypt 0xe6e54fdb
